iter	Passed	Remaining
281	16569	42186
282	16624	42119
283	16678	42047
284	16730	41972
285	16786	41908
286	16838	41833
287	16890	41758
288	16947	41693
289	17013	41652
290	17065	41579
291	17117	41504
292	17171	41434
293	17222	41357
294	17272	41278
295	17326	41209
296	17378	41135
297	17430	41060
298	17485	40995
299	17538	40922
300	17593	40857
301	17647	40788
302	17700	40716
303	17751	40640
304	17802	40565
305	17858	40502
306	17928	40469
307	17980	40397
308	18033	40328
309	18100	40287
310	18152	40214
311	18202	40138
312	18255	40069
313	18309	40001
314	18362	39932
315	18418	39867
316	18470	39796
317	18521	39722
318	18577	39658
319	18628	39585
320	18681	39516
321	18733	39444
322	18785	39373
323	18837	39302
324	18889	39232
325	18939	39157
326	18994	39093
327	19052	39033
328	19116	38988
329	19168	38916
330	19224	38856
331	19279	38790
332	19330	38719
333	19385	38655
334	19438	38587
335	19490	38516
336	19542	38446
337	19599	38387
338	19651	38316
339	19701	38244
340	19755	38179
341	19811	38117
342	19868	38056
343	19923	37993
344	19985	37942
345	20049	37896
346	20101	37827
347	20181	37811
348	20235	37745
349	20290	37681
350	20341	37611
351	20396	37548
352	20446	37475
353	20499	37408
354	20552	37342
355	20607	37279
356	20660	37212
357	20712	37143
358	20768	37081
359	20824	37020
360	20879	36958
361	20935	36897
362	20991	36835
363	21043	36768
364	21148	36793
365	21237	36788
366	21290	36722
367	21344	36656
368	21396	36589
369	21448	36520
370	21500	36452
371	21580	36431
372	21669	36425
373	21754	36413
374	21810	36350
375	21869	36293
376	21966	36299
377	22046	36278
378	22131	36262
379	22193	36211
380	22266	36175
381	22319	36108
382	22375	36046
383	22429	35980
384	22485	35917
385	22539	35853
386	22595	35790
387	22649	35724
388	22703	35660
389	22756	35593
390	22812	35531
391	22867	35468
392	22931	35417
393	22989	35359
394	23050	35304
395	23105	35241
396	23156	35172
397	23210	35107
398	23278	35063
399	23328	34993
400	23382	34927
401	23435	34862
402	23490	34798
403	23540	34728
404	23593	34662
405	23645	34595
406	23699	34529
407	23750	34461
408	23800	34391
409	23852	34324
410	23906	34259
411	23958	34193
412	24012	34129
413	24068	34067
414	24122	34004
415	24175	33939
416	24231	33878
417	24306	33842
418	24362	33782
419	24445	33758
420	24509	33708
421	24638	33747
422	24701	33694
423	24756	33631
424	24807	33563
425	24867	33506
426	24924	33446
427	24977	33381
428	25030	33315
429	25088	33256
430	25140	33190
431	25205	33140
432	25277	33099
433	25374	33091
434	25433	33034
435	25484	32965
436	25539	32903
437	25602	32850
438	25674	32809
439	25745	32766
440	25814	32721
441	25874	32665
442	25928	32601
443	25984	32538
444	26039	32475
445	26098	32418
446	26155	32358
447	26213	32298
448	26271	32239
449	26328	32179
450	26409	32148
451	26554	32194
452	26619	32142
453	26672	32077
454	26731	32018
455	26785	31954
456	26841	31893
457	26900	31833
458	26958	31774
459	27018	31717
460	27077	31658
461	27136	31600
462	27196	31543
463	27254	31483
464	27315	31427
465	27383	31379
466	27476	31359
467	27538	31304
468	27603	31253
469	27664	31196
470	27723	31137
471	27784	31080
472	27842	31021
473	27912	30974
474	27972	30916
475	28033	30860
476	28095	30804
477	28157	30749
478	28217	30691
479	28276	30633
480	28336	30574
481	28393	30514
482	28474	30478
483	28534	30421
484	28594	30363
485	28656	30307
486	28726	30260
487	28791	30207
488	28850	30148
489	28911	30091
490	28970	30032
491	29029	29973
492	29096	29922
493	29175	29883
494	29276	29868
495	29351	29825
496	29421	29776
497	29482	29719
498	29565	29683
499	29624	29624
500	29686	29567
501	29746	29509
502	29810	29454
503	29898	29423
504	29978	29384
505	30061	29348
506	30121	29289
507	30180	29229
508	30240	29170
509	30298	29110
510	30360	29053
511	30421	28995
512	30482	28937
513	30546	28882
514	30629	28845
515	30690	28787
516	30748	28726
517	30808	28666
518	30869	28608
519	30932	28553
520	30994	28495
521	31051	28434
522	31112	28375
523	31169	28313
524	31228	28253
525	31288	28194
526	31355	28142
527	31419	28087
528	31487	28035
529	31553	27981
530	31651	27955
531	31729	27912
532	31797	27860
533	31862	27805
534	31922	27745
535	31984	27687
536	32044	27628
537	32111	27575
538	32172	27516
539	32233	27457
540	32294	27399
541	32351	27337
542	32408	27275
543	32464	27212
544	32522	27152
545	32583	27093
546	32642	27033
547	32727	26994
548	32785	26933
549	32843	26871
550	32902	26811
551	32961	26751
552	33032	26700
553	33091	26640
554	33151	26580
555	33210	26520
556	33271	26461
557	33331	26402
558	33393	26344
559	33451	26283
560	33509	26222
561	33569	26162
562	33631	26104
563	33697	26049
564	33788	26014
565	33851	25956
566	33908	25895
567	33966	25833
568	34026	25773
569	34105	25728
570	34194	25690
571	34277	25648
572	34343	25593
573	34400	25530
574	34475	25482
575	34560	25440
576	34648	25400
577	34715	25346
578	34830	25326
579	34930	25294
580	35013	25251
581	35074	25191
582	35132	25129
583	35191	25067
584	35249	25006
585	35307	24944
586	35368	24884
587	35425	24822
588	35484	24761
589	35542	24698
590	35600	24636
591	35656	24574
592	35716	24513
593	35773	24451
594	35830	24388
595	35911	24342
596	35970	24281
597	36032	24222
598	36093	24163
599	36152	24101
600	36210	24039
601	36267	23977
602	36324	23915
603	36381	23852
604	36437	23789
605	36494	23727
606	36553	23666
607	36612	23605
608	36669	23543
609	36729	23483
610	36788	23421
611	36846	23359
612	36904	23298
613	37053	23293
614	37107	23230
615	37167	23169
616	37222	23105
617	37278	23042
618	37336	22981
619	37393	22918
620	37464	22864
621	37550	22820
622	37635	22774
623	37712	22724
624	37769	22661
625	37825	22598
626	37883	22536
627	37942	22475
628	38002	22415
629	38088	22369
630	38168	22320
631	38251	22273
632	38333	22224
633	38402	22169
634	38459	22106
635	38517	22044
636	38601	21997
637	38673	21943
638	38754	21894
639	38843	21849
640	38927	21801
641	38987	21740
642	39070	21692
643	39126	21629
644	39186	21567
645	39243	21505
646	39301	21442
647	39358	21379
648	39417	21318
649	39481	21259
650	39540	21197
651	39598	21135
652	39655	21072
653	39714	21011
654	39772	20948
655	39832	20887
656	39890	20825
657	39948	20763
658	40005	20700
659	40063	20638
660	40148	20590
661	40224	20537
662	40284	20476
663	40341	20414
664	40399	20351
665	40457	20289
666	40516	20227
667	40574	20165
668	40631	20103
669	40690	20041
670	40746	19978
671	40802	19915
672	40860	19853
673	40916	19790
674	40975	19728
675	41032	19666
676	41094	19606
677	41153	19544
678	41240	19496
679	41298	19434
680	41352	19370
681	41411	19309
682	41470	19247
683	41527	19185
684	41597	19128
685	41669	19073
686	41782	19036
687	41871	18988
688	41936	18929
689	41994	18866
690	42052	18805
691	42116	18745
692	42176	18684
693	42274	18639
694	42335	18578
695	42394	18517
696	42453	18455
697	42510	18392
698	42577	18334
699	42645	18276
700	42708	18216
701	42766	18154
702	42831	18095
703	42890	18033
704	42954	17973
705	43025	17916
706	43088	17857
707	43152	17797
708	43211	17735
709	43277	17676
710	43377	17631
711	43438	17570
712	43498	17509
713	43559	17448
714	43618	17386
715	43678	17325
716	43737	17263
717	43797	17201
718	43856	17139
719	43916	17078
720	43977	17017
721	44035	16955
722	44095	16894
723	44160	16834
724	44222	16773
725	44281	16712
726	44352	16655
727	44443	16605
728	44501	16543
729	44561	16481
730	44620	16419
731	44680	16358
732	44744	16298
733	44802	16236
734	44861	16174
735	44937	16118
736	45001	16059
737	45069	16000
738	45134	15940
739	45206	15883
740	45273	15824
741	45340	15765
742	45409	15707
743	45526	15664
744	45584	15602
745	45643	15540
746	45707	15480
747	45773	15421
748	45838	15360
749	45900	15300
750	45961	15238
751	46020	15177
752	46080	15115
753	46140	15053
754	46200	14992
755	46262	14931
756	46322	14869
757	46381	14807
758	46442	14746
759	46537	14696
760	46605	14636
761	46684	14581
762	46746	14520
763	46806	14458
764	46866	14396
765	46929	14336
766	46989	14274
767	47052	14213
768	47114	14152
769	47177	14091
770	47248	14033
771	47317	13974
772	47386	13915
773	47459	13857
774	47529	13799
775	47658	13757
776	47733	13699
777	47802	13640
778	47865	13579
779	48016	13543
780	48132	13496
781	48219	13442
782	48294	13384
783	48362	13324
784	48423	13262
785	48493	13203
786	48578	13147
787	48697	13101
788	48764	13040
789	48845	12984
790	48921	12926
791	48996	12867
792	49060	12806
793	49124	12745
794	49188	12683
795	49262	12625
796	49347	12569
797	49428	12511
798	49508	12454
799	49573	12393
800	49635	12331
801	49707	12271
802	49838	12226
803	49924	12170
804	50007	12113
805	50066	12050
806	50128	11988
807	50185	11925
808	50246	11862
809	50308	11800
810	50366	11737
811	50425	11674
812	50483	11611
813	50540	11548
814	50602	11486
815	50662	11423
816	50739	11365
817	50858	11315
818	50925	11254
819	50983	11191
820	51040	11128
821	51099	11065
822	51159	11002
823	51217	10939
824	51282	10878
825	51340	10815
826	51399	10752
827	51456	10689
828	51524	10628
829	51602	10569
830	51679	10509
831	51740	10447
832	51802	10385
833	51876	10325
834	51999	10275
835	52072	10215
836	52145	10155
837	52224	10095
838	52302	10036
839	52379	9977
840	52454	9917
841	52535	9858
842	52607	9797
843	52665	9734
844	52732	9672
845	52808	9612
846	52886	9553
847	52963	9493
848	53063	9437
849	53120	9374
850	53175	9310
851	53232	9246
852	53293	9184
853	53354	9121
854	53420	9059
855	53484	8997
856	53543	8934
857	53602	8871
858	53660	8808
859	53718	8744
860	53776	8681
861	53837	8619
862	53896	8555
863	53970	8495
864	54040	8434
865	54155	8379
866	54221	8317
867	54296	8257
868	54360	8194
869	54424	8132
870	54489	8070
871	54556	8008
872	54622	7946
873	54686	7883
874	54748	7821
875	54809	7758
876	54870	7695
877	54967	7637
878	55082	7582
879	55241	7532
880	55307	7470
881	55373	7408
882	55442	7346
883	55512	7284
884	55573	7221
885	55636	7158
886	55700	7096
887	55773	7034
888	55845	6972
889	55923	6911
890	55991	6849
891	56055	6787
892	56118	6724
893	56183	6661
894	56247	6598
895	56247	6598
896	56316	6473
897	56457	6419
898	56531	6358
899	56588	6294
900	56647	6231
901	56704	6167
902	56761	6104
903	56814	6040
904	56870	5976
905	56925	5912
906	56977	5848
907	57028	5784
908	57087	5721
909	57149	5658
910	57204	5594
911	57252	5530
912	57332	5469
913	57381	5405
914	57428	5340
915	57474	5276
916	57519	5211
917	57563	5147
918	57607	5083
919	57654	5018
920	57708	4955
921	57802	4895
922	57853	4831
923	57925	4769
924	57998	4707
925	58066	4645
926	58135	4583
927	58204	4520
928	58274	4458
929	58388	4399
930	58459	4337
931	58534	4275
932	58613	4213
933	58687	4151
934	58764	4089
935	58856	4028
936	58986	3970
937	59085	3909
938	59166	3847
939	59244	3785
940	59318	3723
941	59395	3660
942	59537	3602
943	59612	3540
944	59684	3477
945	59752	3414
946	59830	3352
947	59899	3289
948	59967	3226
949	60040	3163
950	60113	3100
951	60184	3037
952	60256	2974
953	60366	2913
954	60447	2851
955	60558	2790
956	60632	2727
957	60726	2665
958	60833	2603
959	60922	2541
960	60984	2477
961	61047	2413
962	61108	2350
963	61170	2286
964	61231	2223
965	61296	2159
966	61355	2095
967	61406	2032
968	61463	1968
969	61543	1905
970	61651	1843
971	61710	1779
972	61763	1715
973	61815	1651
974	61869	1588
975	61925	1524
976	61986	1460
977	62040	1397
978	62095	1333
979	62146	1269
980	62200	1205
981	62254	1142
982	62309	1078
983	62364	1015
984	62441	951
985	62518	888
986	62573	825
987	62624	761
988	62679	697
989	62773	634
990	62824	571
991	62876	507
992	62928	444
993	62982	380
994	63034	317
995	63087	253
996	63168	190
997	63247	126
998	63299	63
999	63356	0
