iter	MultiClass	Accuracy
273	1.313449457	0.5584666667
274	1.312632028	0.5588
275	1.312205887	0.5590666667
276	1.311323925	0.56
277	1.310741843	0.5603333333
278	1.310366941	0.5606666667
279	1.309179811	0.5598
280	1.308277393	0.5606666667
281	1.307299598	0.5616666667
282	1.305818516	0.5633333333
283	1.304530307	0.5634666667
284	1.303667918	0.5638
285	1.302431464	0.5642
286	1.301450159	0.5640666667
287	1.300275282	0.5651333333
288	1.298713171	0.5659333333
289	1.297766686	0.5662666667
290	1.296699607	0.5675333333
291	1.295822722	0.5684
292	1.295109477	0.5686666667
293	1.294458231	0.5686
294	1.29386388	0.5680666667
295	1.292877488	0.5681333333
296	1.291885503	0.5684666667
297	1.291010907	0.5690666667
298	1.290428605	0.5692
299	1.290172995	0.5696
300	1.289134307	0.5706
301	1.288428049	0.5699333333
302	1.288106679	0.5700666667
303	1.287434724	0.5704
304	1.286724255	0.5708
305	1.285488451	0.5711333333
306	1.284114001	0.5725333333
307	1.283528631	0.5728
308	1.282450476	0.5729333333
309	1.281754894	0.5730666667
310	1.28092752	0.5736
311	1.279995418	0.5742666667
312	1.278927083	0.5744666667
313	1.277960436	0.5750666667
314	1.276808457	0.5752
315	1.275688963	0.5758666667
316	1.2750826	0.5755333333
317	1.274384129	0.5759333333
318	1.273662209	0.5764666667
319	1.272558028	0.5759333333
320	1.27122908	0.5767333333
321	1.270956271	0.577
322	1.270004059	0.5774666667
323	1.269149999	0.5777333333
324	1.268549746	0.578
325	1.268190047	0.5776
326	1.267334384	0.5776666667
327	1.266325039	0.5788
328	1.26533826	0.5788666667
329	1.264258612	0.5792666667
330	1.263143447	0.579
331	1.26263413	0.5790666667
332	1.261542732	0.5798666667
333	1.26065392	0.5808666667
334	1.259864154	0.5814666667
335	1.258939554	0.5818
336	1.258273922	0.5823333333
337	1.257096052	0.5825333333
338	1.255949217	0.5826
339	1.255366656	0.5829333333
340	1.254144476	0.5838666667
341	1.253282059	0.5845333333
